input_id	dealiased_id	standard_id	short_id
doi:10.48550/arXiv.2005.14165	doi:10.48550/arXiv.2005.14165	doi:10.48550/arxiv.2005.14165	rtNEROOT
doi:10.48550/arXiv.2007.08124	doi:10.48550/arXiv.2007.08124	doi:10.48550/arxiv.2007.08124	I9fAgwdv
doi:10.48550/arXiv.2002.04326	doi:10.48550/arXiv.2002.04326	doi:10.48550/arxiv.2002.04326	ngEOG0MW
doi:10.48550/arXiv.2304.03439	doi:10.48550/arXiv.2304.03439	doi:10.48550/arxiv.2304.03439	18cJovLK7
